,timestamp,"('AirMonitorAgent', 'AirPollution')","('AirMonitorAgent', 'CarbonDioxide')","('AirMonitorAgent', 'ParticulateMatter')","('AirMonitorAgent', 'VolatileCompounds')","('AirconAgent', 'Aircon0Power')","('AirconAgent', 'Aircon1Power')","('AmbientSensorAgent', 'sensor0_Brightness')","('AmbientSensorAgent', 'sensor0_Humidity')","('AmbientSensorAgent', 'sensor0_Temperature')","('AmbientSensorAgent', 'sensor1_Brightness')","('AmbientSensorAgent', 'sensor1_Humidity')","('AmbientSensorAgent', 'sensor1_Temperature')","('AmbientSensorAgent', 'sensor2_Brightness')","('AmbientSensorAgent', 'sensor2_Humidity')","('AmbientSensorAgent', 'sensor2_Temperature')","('AmbientSensorAgent', 'sensor3_Brightness')","('AmbientSensorAgent', 'sensor3_Humidity')","('AmbientSensorAgent', 'sensor3_Temperature')","('DoorAgent', 'CorrectedUserCount')","('DoorAgent', 'UserCount')","('LightAgent', 'LightGroup1')","('LoungeMonnitServerAgent', 'MDoor')","('LoungeMonnitServerAgent', 'MLight')","('LoungeMonnitServerAgent', 'MRunningMachine')","('LoungeMonnitServerAgent', 'MSofa')","('LoungeMonnitServerAgent', 'MStair')","('LoungeMonnitServerAgent', 'MVendingMachine')","('LoungeMonnitServerAgent', 'seat1')","('LoungeMonnitServerAgent', 'seat2')","('LoungeMonnitServerAgent', 'seat3')","('LoungeMonnitServerAgent', 'seat4')","('LoungeMonnitServerAgent', 'seat5a')","('LoungeMonnitServerAgent', 'seat5b')","('LoungeMonnitServerAgent', 'seat5c')","('LoungeMonnitServerAgent', 'seat6a')","('LoungeMonnitServerAgent', 'seat6b')","('LoungeMonnitServerAgent', 'seat6c')","('LoungeMonnitServerAgent', 'tiltAircon0_Pitch')","('LoungeMonnitServerAgent', 'tiltAircon0_Roll')","('LoungeMonnitServerAgent', 'tiltAircon1_Pitch')","('LoungeMonnitServerAgent', 'tiltAircon1_Roll')","('LoungeMonnitServerAgent', 'totalSeatCount')","('PresenceInferringAgent', 'InferredPresence')","('SmartboardAgent', 'SmartboardPower')","('SoundSensorAgent', 'SoundBackWall2')","('SoundSensorAgent', 'SoundFridge')","('SoundSensorAgent', 'SoundLeftWall3')","('SoundSensorAgent', 'SoundLeftWall4')","('SoundSensorAgent', 'SoundRightWall1')","('SoundSensorAgent', 'SoundRightWall3')","('SoundSensorAgent', 'SoundTV')",changepoint
0,1527785401.0,,,,,,1,2.765833333333333,44.0663872023901,25.04790833333334,0.20333333333333334,43.12936164295817,26.5223,2.305,44.23924056836559,26.034100000000002,1.5083333333333333,45.21336485854494,26.076600000000003,,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,163.57771666666665,-178.61171666666667,-150.08665833333333,102.87968333333333,0.0,0,,77.60933879104925,73.95156697258331,74.35840820069409,74.48438011053379,74.13469819979068,72.67172740692774,68.5632666991817,1
1,1527786001.0,,,,,,1,0.6776534722222223,44.142568229908875,25.02390549305556,0.009997222222222222,43.234183541468866,26.39227975,2.0149958333333333,44.318781891353126,25.982584916666667,1.0249930555555558,45.321377744605,26.025474500000005,,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,163.49439075,-178.67871741666667,-150.21853320833335,149.45875358333336,0.0,0,,77.60933879104925,71.89885390980807,74.35840820069409,74.48438011053379,74.13469819979068,70.20206708625307,66.56400951127128,0
2,1527786601.0,,,,,,1,0.30898044560185184,44.193834275394494,24.90831587910879,8.331018518518518e-05,43.33001336535243,26.360268997916673,2.0001249652777777,44.42734963123708,25.890771540972217,1.000208275462963,45.33131522954433,25.964278954166673,,,0,0,0,0,1,0,0,0,0,,0,,,,1,1,,163.63278699229167,-178.5849155978472,-150.75500711100693,179.1562406279861,0.08166666666666667,1,,77.60933879104925,72.07357692282704,74.35840820069409,74.48438011053379,74.13469819979068,70.59703337743287,67.52920770199692,0
3,1527787201.0,,,,,,1,0.10386225557002314,44.27792981836138,24.84075394848886,1.0413773148148147e-06,43.42722090352707,26.36000336247396,2.0000015620659726,44.51207353643595,25.89000964426215,1.000002603443287,45.447758378085155,25.872670153593752,,,0,0,0,0,1,0,0,0,0,0,0,,,,1,1,0,163.39449071546719,-178.55986682423108,-150.23337117110617,165.03324642982935,0.4097125,1,,77.60933879104925,73.72043063261403,74.35840820069409,74.48438011053379,74.13469819979068,72.18161389130583,67.76015544772669,0
4,1527787801.0,,,,,,1,0.4117310375928337,44.39927633487544,24.852212565808145,1.7356288580246913e-08,43.56132105054801,26.337358389374568,2.000000026034433,44.60758143227252,25.890000160737703,1.0000000433907215,45.52731643757173,25.845161169226564,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,163.51679135718223,-178.57343722747436,-150.49740874023473,177.80708157451062,0.7242476041666667,0,,77.60933879104925,74.68659011997762,74.35840820069409,74.48438011053379,74.13469819979068,73.2442765946411,68.065642191786,0
5,1527788401.0,,,,,,1,0.8836266092731542,44.56973084641901,24.8281053141452,4.339072145061728e-10,43.682357036522866,26.252183959734364,2.000000000650861,44.69527812400692,25.890000004018443,1.000000001084768,45.66434051648207,25.855512362564,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,163.4410532973216,-178.6120309884478,-149.88258920308434,179.03766283989378,0.7138510316840277,0,,77.60933879104925,71.75291632373087,74.35840820069409,74.48438011053379,74.13469819979068,70.08711065513121,67.26588213683718,0
6,1527789001.0,,,,,,1,0.5780784871192556,44.65988035453864,24.789433247186146,1.3378805780606995e-11,43.80175473308597,26.231667338758474,2.000000000020068,44.92560060874004,25.8900000001239,1.000000000033447,45.71677476208378,25.846403297845725,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,163.6936986886488,-178.67788853992298,-149.51112559468723,178.84439275226597,0.004759006877893518,0,,77.60933879104925,73.04213475206036,74.35840820069409,74.48438011053379,74.13469819979068,71.4016936602072,66.55102990743441,0
7,1527789601.0,,,,,,1,0.5730705910226294,44.783457151123244,24.788771662359306,6.689402890303497e-13,43.93301118524955,26.147283366937923,2.0000000000010036,45.0435884581693,25.841325000006197,1.0000000000016724,45.81114552765003,25.854361831558954,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,163.48523698688646,-178.65788721873258,-150.48343625594688,179.08676892752268,4.759006877893518e-05,0,,77.60933879104925,73.85191876076642,74.35840820069409,74.48438011053379,74.13469819979068,71.46221507432189,66.5315605520784,0
8,1527790201.0,,,,,,1,0.6663204706068175,44.852068889085395,24.79995847774906,4.459601926868998e-15,43.99220354301784,26.130115222446253,2.0000000000000067,45.117913175419126,25.780408833333375,1.000000000000011,45.89922610436402,25.84237074554373,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,163.51670118493442,-178.65953110276033,-114.7249588479464,144.4381505113043,2.3795034389467591e-07,0,,77.60933879104925,74.72688339089423,74.35840820069409,74.48438011053379,74.13469819979068,70.96757333133964,66.5085049085079,0
9,1527790801.0,,,,,,1,0.7119352125495151,44.9318894354465,24.73433222607331,1.1892271804983994e-16,44.10316703972547,26.130003072598566,2.0,45.222922641498776,25.780010902222223,1.0000000000000004,45.90660201116674,25.837579886547832,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,163.32507543147835,-178.64284413878448,-149.39600365226602,105.91623521472465,2.9743792986834486e-09,0,,77.60933879104925,71.1115854925054,74.35840820069409,74.48438011053379,74.13469819979068,69.6306849688549,66.42692441515766,0
