,timestamp,"('AirMonitorAgent', 'AirPollution')","('AirMonitorAgent', 'CarbonDioxide')","('AirMonitorAgent', 'ParticulateMatter')","('AirMonitorAgent', 'VolatileCompounds')","('AirconAgent', 'Aircon0Power')","('AirconAgent', 'Aircon1Power')","('AmbientSensorAgent', 'sensor0_Brightness')","('AmbientSensorAgent', 'sensor0_Humidity')","('AmbientSensorAgent', 'sensor0_Temperature')","('AmbientSensorAgent', 'sensor1_Brightness')","('AmbientSensorAgent', 'sensor1_Humidity')","('AmbientSensorAgent', 'sensor1_Temperature')","('AmbientSensorAgent', 'sensor2_Brightness')","('AmbientSensorAgent', 'sensor2_Humidity')","('AmbientSensorAgent', 'sensor2_Temperature')","('AmbientSensorAgent', 'sensor3_Brightness')","('AmbientSensorAgent', 'sensor3_Humidity')","('AmbientSensorAgent', 'sensor3_Temperature')","('DoorAgent', 'CorrectedUserCount')","('DoorAgent', 'LoungeNumber')","('DoorAgent', 'UserCount')","('LightAgent', 'LightGroup1')","('LightAgent', 'Luminosity')","('LoungeMonnitServerAgent', 'MDoor')","('LoungeMonnitServerAgent', 'MLight')","('LoungeMonnitServerAgent', 'MRunningMachine')","('LoungeMonnitServerAgent', 'MSofa')","('LoungeMonnitServerAgent', 'MStair')","('LoungeMonnitServerAgent', 'MVendingMachine')","('LoungeMonnitServerAgent', 'seat1')","('LoungeMonnitServerAgent', 'seat2')","('LoungeMonnitServerAgent', 'seat3')","('LoungeMonnitServerAgent', 'seat4')","('LoungeMonnitServerAgent', 'seat5a')","('LoungeMonnitServerAgent', 'seat5b')","('LoungeMonnitServerAgent', 'seat5c')","('LoungeMonnitServerAgent', 'seat6a')","('LoungeMonnitServerAgent', 'seat6b')","('LoungeMonnitServerAgent', 'seat6c')","('LoungeMonnitServerAgent', 'tiltAircon0_Pitch')","('LoungeMonnitServerAgent', 'tiltAircon0_Roll')","('LoungeMonnitServerAgent', 'tiltAircon1_Pitch')","('LoungeMonnitServerAgent', 'tiltAircon1_Roll')","('LoungeMonnitServerAgent', 'totalSeatCount')","('PresenceInferringAgent', 'InferredPresence')","('SmartboardAgent', 'SmartboardPower')","('SoundSensorAgent', 'SoundBackWall2')","('SoundSensorAgent', 'SoundFridge')","('SoundSensorAgent', 'SoundLeftWall3')","('SoundSensorAgent', 'SoundLeftWall4')","('SoundSensorAgent', 'SoundRightWall1')","('SoundSensorAgent', 'SoundRightWall3')","('SoundSensorAgent', 'SoundTV')","('StandLightAgent', 'Power')","('StandLightAgent', 'Standlightlevel')"
0,1527778801.0,74.98001,2565.0,15.980011,708.0,0,1,10.631666666666666,43.418135696698435,25.400183333333334,17.5175,42.586034802344365,26.77564166666666,14.759166666666667,43.61637240476426,26.402499999999996,9.375833333333333,44.31878189135313,26.360000000000003,,25.0,,1,,1,1,1,1,1,1,0,,,,,,,,,,163.30586666666665,-178.61633333333333,-150.8069833333333,179.44203333333334,0.0,1,,77.3713119321259,77.94465907362333,68.30372508970477,69.16008255732581,70.60385850984449,73.791630366054,69.61317324825968,,
1,1527779401.0,80.99315299166668,2857.2475,15.3352352225,787.895,0,1,10.038116666666667,43.471810674729944,25.3370055,18.183858333333333,42.74156069742976,26.76374425,15.959441666666669,43.694697999262196,26.361275000000003,10.663775,44.4532231698528,26.358608333333333,,25.9825,,1,,0,0,0,0,0,0,0,,,0,,,,,,,163.4462563333333,-178.6306158333333,-149.65646745833334,138.62402175,0.0,0,,77.22181366866123,77.93859753113426,68.92825002221876,71.24117117920369,67.94698464227996,73.70006734086988,70.26199875819216,,
2,1527780001.0,79.8149458975,2815.0742499999997,15.14256916675,776.0685,0,1,11.560532513888889,43.58157640730676,25.42735936375,19.934921590277778,42.72978251583099,26.81653416895833,17.386879993055555,43.76488296669,26.360045687499998,13.663785270833335,44.64101806333901,26.353441798611108,,25.9825,,1,,0,0,0,0,0,0,0,,0,0,,,,,,,163.46777089666668,-178.626722825,-149.29776467458336,178.7632152175,0.15666666666666668,0,,77.37992574522276,78.49503725507171,69.58763224453028,70.89479217806496,67.23469158043724,75.21008005030667,70.81207197972816,,
3,1527780601.0,78.29662165249792,2752.097336875,15.084838159330623,758.5414404166667,0,1,8.733822631840278,43.64576542239865,25.463162772959375,19.997234167586807,42.68815914078843,26.81201103551406,17.05060906637153,43.82743698281959,26.36000194171875,13.063210874010416,44.692251889825876,26.343312943107637,,25.9825,,1,,0,0,0,1,0,0,0,,0,0,0,,,,,,163.51278503609444,-178.609312327875,-149.8915765679493,140.54972799637918,0.0033944444444444443,1,0,77.28564829599298,78.75146124586068,69.34769578277847,69.95135636135963,66.91171490122804,74.68179735642417,70.06815095528725,0,0.0
4,1527781201.0,77.31665352183687,2709.4310299572917,15.067491448064738,746.9900011923611,0,1,8.078189908345747,43.66618215981086,25.452366898382238,5.712368622960373,42.73032632349641,26.841345524186917,13.292403930652648,43.86729333923532,26.337541758898304,12.050502516515495,44.76112902167281,26.248215698130945,,25.9825,,1,,0,0,0,0,0,0,0,,0,0,0,,,,,,163.68775517122438,-178.63696755021863,-149.3767337461528,142.33987205329413,3.677314814814814e-05,0,0,77.33041921255247,78.77288583474807,69.24320396114543,70.17512180691362,67.25605748769699,74.91127833461245,70.8777575258141,0,0.0
5,1527781801.0,76.35412896535566,2651.237886562081,15.383130113039583,731.6519753606892,0,1,9.00526063302782,43.67951344708601,25.377774556327942,7.479874562076535,42.69312341297439,26.79822948508062,14.464308013102176,43.86927430127204,26.283566805862993,16.456001675055052,44.8459669774575,26.2097940523271,,25.9825,,1,,0,0,0,0,0,0,0,,0,0,0,,,,,0,163.3808069741151,-178.6569085447125,-150.45143739680128,178.40953921435482,7.048186728395061e-07,0,0,77.36222374977041,77.94236633893189,68.36937598840122,69.41258413773602,66.35853501607986,73.48285053486184,70.12338618159818,1,2.72
6,1527782401.0,74.4656028994912,2581.4054922571645,15.158014740955341,711.6910991927424,0,1,11.244214889136089,43.65553396326833,25.317921266766337,12.221065516819035,42.75612251668436,26.789650436946566,15.98592282345344,43.88171562045855,26.25030769572041,24.475013348688005,44.880618978180024,26.179131445479666,,25.478150000000003,,1,,1,1,1,1,1,1,0,,0,0,0,,0,,,0,163.46331453093327,-178.5887707421002,-149.85306572624268,145.10125361107342,1.996986239711934e-08,1,0,77.27376869389144,78.52746083694022,68.30111166808634,69.59679969341025,66.6142182728667,74.53662677399203,70.2107129965676,1,2.72
7,1527783001.0,73.69397042359523,2509.4525038948877,16.05006420870725,691.7268760044591,0,1,8.150329890003707,43.686233229570824,25.241118819001496,6.292482649418952,42.83478346918947,26.6842447565542,13.85895550901847,43.91951476518205,26.250004615435806,14.792958533563654,44.94428260453431,26.143036971682196,,25.9634705,,1,,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,163.2215771510311,-178.65456735807004,-117.38140219087475,179.20349178703577,0.5858333339989954,0,0,77.40475151045152,78.60956884448846,69.88091220383342,70.11662530980038,68.87407164884722,74.95328780175744,71.0373330271464,0,0.21080000000000002
8,1527783601.0,72.09502532919656,2468.8280136879407,15.361968193655711,680.7966971813601,0,1,7.321258247250092,43.77128992458318,25.22637797047504,5.032312066235474,42.91913598502559,26.637006118913856,13.297307221058794,43.990773656114385,26.250000115385895,12.173157296672425,44.99051714227757,26.142325924292052,,25.9634705,,1,,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,163.47238022872813,-178.65447087436303,-149.32694354199177,179.07656692591817,0.011228472234980746,0,0,77.36555361136058,78.98584312426532,70.5962901767359,71.23879966373738,69.98936460031717,75.34206282500628,71.59429500682266,0,0.21080000000000002
9,1527784201.0,71.40664084234595,2433.544900852895,15.471682489226371,671.219489887966,0,1,5.159607559702295,43.816151667355435,25.14388228404044,4.033550142152653,42.91781830727798,26.61130269886471,8.17216248468441,44.02645439192006,26.192600003750037,11.038127612141853,45.097299449879316,26.19980059253949,,25.9634705,,1,,0,0,0,1,0,1,0,,0,0,0,0,0,,0,0,163.42246665400273,-178.663444906968,-90.07956317865153,182.57617325453688,0.00019649826411216305,1,0,77.34431043630728,77.44030593252315,68.90319562135025,68.66160925277518,68.12412362874227,72.87663110093473,69.69212459825428,0,0.21080000000000002
