2018-06-08,14:21:09,15:53:55,Sleeping,1
2018-06-08,15:08:58,15:11:01,Phone Call,1
2018-06-08,15:26:02,15:43:38,Eating,1
2018-06-08,16:00:13,16:22:07,Sleeping,1
2018-06-08,16:22:45,16:32:38,Eating,1
2018-06-08,16:38:56,17:10:29,PhoneCall+Have a rest,1
2018-06-08,18:40:28,19:14:01,Sleeping,1
2018-06-08,18:41:48,19:05:12,Eating,1
2018-06-08,20:08:51,21:41:02,Sleeping,1
2018-06-09,3:05:02,3:25:02,Eating,2
2018-06-09,3:27:17,4:12:06,Playing a game,2
2018-06-09,14:50:26,15:17:32,Sleeping,1
2018-06-09,19:09:00,19:20:33,Have a rest,1
2018-06-09,19:54:07,21:59:27,Sleeping,1
2018-06-09,22:31:05,22:32:15,PhoneCall,1
2018-06-09,22:34:08,22:38:39,PhoneCall,1
2018-06-10,4:07:32,4:59:54,Sleeping,1
2018-06-10,11:30:02,11:54:32,Eating,1
2018-06-10,14:33:46,14:55:00,PhoneCall,1
2018-06-10,15:10:32,16:01:42,Sleeping,1
2018-06-10,16:02:08,16:07:05,Chatting,2
2018-06-10,16:06:10,18:52:19,Discussion+Studying,3
2018-06-10,17:59:09,18:05:03,Have a rest,1
2018-06-10,18:56:31,20:22:09,Eating+Discussion,3
2018-06-10,20:39:08,21:08:49,Have a rest,1
2018-06-10,21:22:17,21:23:37,Have a rest,1
2018-06-10,22:10:22,22:39:08,Chatting,2
2018-06-10,23:45:16,2:22:56,Sleeping,1
2018-06-11,2:32:10,3:01:42,Eating,3
2018-06-11,4:41:12,4:57:47,Sleeping,1
2018-06-11,4:53:01,5:29:40,Sleeping,1
2018-06-11,6:35:40,8:15:28,Sleeping,1
2018-06-11,11:11:17,11:26:18,Eating,1
2018-06-11,11:34:21,12:16:21,Eating,1
2018-06-11,13:10:26,13:19:47,Eating,1
2018-06-11,14:08:28,14:14:09,Have a rest,1
2018-06-11,14:20:23,14:29:51,Eating,1
2018-06-11,14:46:32,15:45:43,Sleeping,1
2018-06-11,15:29:18,16:48:09,Sleeping,1
2018-06-11,15:49:18,16:12:19,Discussion,3
2018-06-11,16:09:47,16:59:36,Eating,1
2018-06-11,17:03:05,17:16:27,Have a rest,1
2018-06-11,17:23:17,17:52:06,Have a rest,1
2018-06-11,17:56:42,18:17:59,Eating,1
2018-06-11,18:38:09,19:04:07,Eating,1
2018-06-11,19:15:22,19:35:43,Sleeping,1
2018-06-11,19:19:13,19:35:03,Eating,1
2018-06-11,20:35:01,20:50:30,Sleeping,1
2018-06-11,20:35:32,20:44:40,Eating,1
2018-06-11,21:00:21,21:06:20,Have a rest,1
2018-06-11,22:08:46,22:11:56,Phone Call,1
2018-06-12,6:44:11,9:01:20,Sleeping,1
2018-06-12,9:50:29,9:55:07,Have a rest,1
2018-06-12,10:13:58,11:33:22,Sleeping,1
2018-06-12,11:33:09,11:35:46,Phone Call,1
2018-06-12,12:20:30,12:25:46,Phone Call,1
2018-06-12,12:33:56,13:16:59,Have a rest,1
2018-06-12,12:43:33,12:57:09,Eating,1
2018-06-12,12:57:04,13:08:08,Eating,1
2018-06-12,14:41:22,14:45:25,Eating,1
2018-06-12,14:47:25,14:49:11,Phone Call,1
2018-06-12,14:43:26,15:11:37,Sleeping,1
2018-06-12,15:09:59,15:27:20,Eating,1
2018-06-12,15:23:06,17:46:41,Sleeping,1
2018-06-12,16:27:13,16:29:40,Have a rest,1
2018-06-12,16:47:54,16:50:36,Have a rest,1
2018-06-12,18:28:55,18:36:00,Have a rest,1
2018-06-12,18:42:30,18:42:42,Phone Call,1
2018-06-12,19:18:20,19:35:32,Eating,1
2018-06-12,19:28:07,19:44:42,Eating,1
2018-06-12,19:53:03,19:53:33,Phone Call,1
2018-06-12,19:53:57,19:54:00,Phone Call,1
2018-06-12,20:11:04,20:36:05,Have a rest,1
2018-06-12,21:35:52,21:56:40,Have a rest,1
2018-06-12,22:49:35,22:54:30,Have a rest,1
2018-06-12,22:56:51,22:57:47,Have a rest,1
2018-06-12,23:10:56,23:48:18,Phone Call,1
2018-06-12,23:58:15,0:44:12,Playing a game,1
2018-06-13,2:17:50,2:24:18,Sleeping,1
2018-06-13,3:00:15,10:17:07,Sleeping,1
2018-06-13,10:29:15,11:03:24,Have a rest,1
2018-06-13,12:58:10,13:59:10,Sleeping,1
2018-06-13,15:25:30,15:36:42,Have a rest,1
2018-06-13,16:21:42,16:33:19,Have a rest,1
2018-06-13,17:55:49,18:27:43,Sleeping,1
2018-06-13,19:08:10,19:28:00,Sleeping,1
2018-06-13,20:36:41,21:03:21,Have a rest,1
2018-06-13,21:17:31,21:54:50,Have a rest,1
2018-06-14,0:01:39,0:08:46,Phone Call,1
2018-06-14,1:02:10,1:21:58,Phone Call,1
2018-06-14,1:21:44,1:36:43,Have a rest,1
2018-06-18,17:31:55,17:39:54,Have a rest,1
2018-06-18,17:33:15,17:37:56,Phone Call,1
2018-06-18,18:22:33,18:43:53,Eating,2
2018-06-18,19:29:37,19:56:35,Eating,1
2018-06-18,20:10:27,20:23:42,Have a rest,1
2018-06-18,22:09:46,23:12:46,Playing a game,2
2018-06-19,9:51:01,9:57:59,Studying,1
2018-06-19,10:32:40,10:48:20,Have a rest,1
2018-06-19,10:50:12,12:16:51,Sleeping,1
2018-06-19,11:00:15,11:33:36,Eating,1
2018-06-19,11:15:16,11:32:30,Have a rest,1
2018-06-19,12:07:01,12:22:01,Eating,1
2018-06-19,12:16:20,12:17:17,Have a rest,1
2018-06-19,12:34:25,12:53:47,Eating,1
2018-06-19,12:58:06,13:13:18,Eating,1
2018-06-19,13:25:21,13:40:11,Have a rest,1
2018-06-19,14:04:09,14:38:04,Playing a game,2
2018-06-19,14:13:48,14:29:38,Have a rest,1
2018-06-19,14:47:54,15:43:00,Studying,1
2018-06-19,15:48:23,15:56:53,Phone Call,1
2018-06-19,16:06:30,16:40:02,Have a rest,1
2018-06-19,16:39:59,17:12:27,Discussion,2
2018-06-19,17:14:50,17:41:50,Playing a game,2
2018-06-19,17:16:00,17:23:14,Have a rest,1
2018-06-19,17:47:46,17:54:52,Have a rest,1
2018-06-19,18:04:57,18:19:25,Eating,1
2018-06-19,18:15:23,18:36:40,Eating,1
2018-06-19,18:31:27,18:44:13,Eating,1
2018-06-19,18:36:22,18:58:33,Sleeping,1
2018-06-19,18:44:13,18:54:32,Eating,2
2018-06-19,19:15:00,20:56:50,Eating+ Playing a game,2
2018-06-20,0:31:35,0:42:39,Phone Call,1
2018-06-20,9:35:10,9:44:30,Eating,1
2018-06-20,11:31:08,11:44:51,Eating,1
2018-06-20,12:20:50,12:49:05,Have a rest,1
2018-06-20,12:34:34,13:15:07,Eating,1
2018-06-20,13:51:35,14:15:51,Sleeping,1
2018-06-20,13:52:30,14:06:58,Discussion,2
